Location's Name,Actor,Character,Quotes
"King County, Georgia",Andrew Lincoln,Rick Grimes,Trust the king
Harrison Memorial Hospital,Norman Reedus,Daryl Dixon,People in hell want slurpee
King County Sheriff's Department,Melissa Suzanne McBride,Carol Peletier,This isn’t a democracy
Interstate 85,Lauren Cohan,Maggie Rhee,Fight the dead
Siggard Family Farm,Danai Gurira,Michonne,Fear the living
"Atlanta, Georgia",Alanna Masterson,Tara Chambler,Stay In
Atlanta Survivor Camp,Christian Serratos,Rosita Espinosa,An eye for an eye
Atlanta Department Store,Josh McDermitt,Eugene Porter,Don't Look Back
Atlanta Nursing Home,Seth Gilliam,Gabriel Stokes,Survive
Center for Disease Control,Ross Marquand,Aaron,Who Will Arrive? 
Vehicle Jammed Highway,Jeffrey Dean Morgan,Negan,Who Will Survive? 
Southern Baptist Church,Lennie James,Morgan Jones,Hunt or be hunted 
Greene Family Farm,Chandler Riggs,Carl Grimes,The New World's Gonna Need Rick Grimes
King County Elementary School,Sonequa Martin-Green,Sasha Williams,A larger world
Unnamed High School,Steven Yeun,Glenn Rhee,We're just getting started
Steve's Pharmacy,Michael Cudlitz,Abraham Ford,Rise up
Wiltshire Estates,Chad Coleman,Tyreese Williams,All out war
The Carriage Bar,Emily Kinney,Beth Greene,
"Mert County, Georgia",David Morrissey,The Governor,
Elders Mill Road,Scott Wilson,Hershel Greene,
West Georgia Correctional Facility,Laurie Holden,Andrea,
Sportman's Deer Cooler,Michael Rooker,Merle Dixon,
"Woodbury, Georgia",Sarah Wayne Callies,Lori Grimes,
Woodbury Community Clinic,Jon Bernthal,Shane Walsh,
Woodbury Research Facility,Jeffrey DeMunn,Dale Horvath,
The Governor's Apartment,Austin Amelio,Dwight,
National Guard Camp,Tom Payne,Jesus,
Woodbury Arena,Xander Berkeley,Gregory,
Zombie Capture Area,Khary Payton,Ezekiel,
Unnamed Daycare Center,Katelyn Nacon,Enid,
Unnamed Roadside Stores,Pollyanna McIntosh,Anne,
Hermit's Shack,Callan McAuliffe,Alden,
Yellow Jacket Creek,Avi Nash,Siddiq,
Morgan's Apartment,Cooper Andrews,Jerry,
King County Café,Kenric Green,Scott,
Verlin's Feed & Seed Co.,Corey Hawkins,Heath,
Grantville Mill,Christine Evangelista,Sherry,
Unnamed Motel,Steven Ogg,Simon,
Big Spot,Jason Douglas,Tobin,
Clara's Camp,Thomas Francis Murphy,Brion,
Unnamed Neighborhood,Juan Gabriel Pareja,Morales,
Whalen Law Firm,Karl Makinen,Richard,
Fort Valley State University,Logan Miller,Benjamin,
Unnamed Apartment Building,Ann Mahoney,Olivia,
Caesar Martinez's Camp,Austin Nichols,Spencer Monroe,
River Camp,Merritt Wever,Denise Cloyd,
Joe & Joe Jr.'s BBQ Shack,Austin Abrams,Ron Anderson,
Unnamed Estate,Alexandra Breckenridge,Jessie Anderson,
Tracks,Major Dodson,Sam Anderson,
Pine Vista Country Club   ,Tovah Feldshuh,Deanna Monroe,
Moonshine Shack,Ethan Embry,Carter,
Funeral Home,Steve Coulter,Reg Monroe,
The Grove,Tyler James Williams,Noah,
Terminus,Daniel Bonjour,Aiden Monroe,
,Christine Woods,Dawn Lerner,
,Lawrence Gilliard Jr.,Bob Stookey,
,IronE Singleton,"Theodore ""T-Dog"" Douglas",
,Andrew Rothenberg,Jim,
,Madison Lintz,Sophia Peletier,
,Emma Bell,Amy,
,Noel Gugliemi,Felipe,
St. Sarah's Church,Donzaleigh Abernathy,Dr. Stevens,
Unnamed Grocery Strore,Adrian Kali Turner,Duane Jones,
