"title","spoilerText","synopsisText","actorList","characterList"
"Taxi Driver (1976) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po0944189"">\n                    <p>A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Kenneth Chisholm&view=simple&sort=alpha&ref_=ttpl_pl_0"">Kenneth Chisholm</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps0464745"">\n                    <p>Travis Bickle is an ex-Marine and Vietnam War veteran living in New York City. As he suffers from insomnia, he spends his time working as a taxi driver at night, watching porn movies at seedy cinemas during the day, or thinking about how the world, New York in particular, has deteriorated into a cesspool. He&#39;s a loner who has strong opinions about what is right and wrong with mankind. For him, the one bright spot in New York humanity is Betsy, a worker on the presidential nomination campaign of Senator Charles Palantine. He becomes obsessed with her. After an incident with her, he believes he has to do whatever he needs to make the world a better place in his opinion. One of his priorities is to be the savior for Iris, a twelve-year-old runaway and prostitute who he believes wants out of the profession and under the thumb of her pimp and lover Matthew.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Huggo&view=simple&sort=alpha&ref_=ttpl_pl_1"">Huggo</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps2454854"">\n                    <p>The former marine Travis Bickle is insomniac and decides to work as taxi driver in the night shift. Travis is a lonely uneducated man that spends his leisure time watching porn films in the theaters. When Travis sees the gorgeous Betsy working as a volunteer in the campaign for president of Senator Charles Palantine, he has a crush on her. He invites Betsy to drink coffee with him and later he dates her. However he takes her to see a porn Swedish movie and she feels offended and leaves him. Travis unsuccessfully sends flowers for her but she rejects him. Travis meets the young prostitute Iris that is trying to flee from her pimp Sport in his taxi but Sport takes her from the car. Travis also buys several weapons from a dealer and practices shooting. When he meets Iris again, he is resolute to help her. Will Travis succeed in his intent?</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Claudio Carvalho, Rio de Janeiro, Brazil&view=simple&sort=alpha&ref_=ttpl_pl_2"">Claudio Carvalho, Rio de Janeiro, Brazil</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps3160430"">\n                    <p>Travis Bickle is a lonely, impotent and insomniac ex-marine, who spends his nights driving his taxi throughout the shadowy streets of mid-70&#39;s New York City. Travis is fed up with the society he finds himself surrounded by, wishing that a &quot;real rain will come and wash all the scum off the streets&quot;. But Travis&#39;s personality sees him being unable to connect with virtually anyone, until he becomes infatuated with a blonde campaign worker named Betsy and then later meets an adolescent prostitute named Iris. As Travis grows increasingly more paranoid of his situations, he begins to sees these relationships he develops as &#39;missions&#39; of which he will need to be the saviour.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Kyle Perez&view=simple&sort=alpha&ref_=ttpl_pl_3"">Kyle Perez</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4423671"">\n                    <p>In the shadow of bustling Big Apple, Travis Bickle--a depressed former U.S. Marine and a chronically insomniac lone wolf--prowls the night streets of the metropolis&#39; dark underbelly in his yellow cab. A nobody amid nobodies against the backdrop of an increasingly distorted perceived reality, Travis delves deeper and deeper into his world of obsession and vitriolic revulsion, as an endless string of bitter rejections from unobtainable objects of desire; condemned young souls, and even his colleagues, can only lead to a flaming manifesto of violence. Now, as Travis braces up to clean up this filthy city, his hungry and lethal weapons will become the grim messengers of truth. His truth.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Nick Riganas&view=simple&sort=alpha&ref_=ttpl_pl_4"">Nick Riganas</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps0120752"">\n                    <p>New York City taxi driver Travis Bickle constantly, almost obsessively, reflects on the ugly corruption of life around him, and becomes increasingly disturbed over his own loneliness and alienation. In nearly every phase of his life, he remains a complete outsider, failing to make emotional contact with anyone. Unable to sleep night after night, he haunts the local pornography emporiums to find diversion, and begins desperately thinking about an escape from his depressing existence.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=filmfactsman&view=simple&sort=alpha&ref_=ttpl_pl_5"">filmfactsman</a></em>\n                        </div>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""synopsis-py3204108"">Travis Bickle (Robert De Niro) goes to a New York City taxi depot where he applies for a job as a driver to the tough-talking personnel officer (Joe Spinell). Travis claims that he is an honorably discharged Marine (it is implied that he is a Vietnam Veteran). After making an impression on the personnel officer, Travis gets the job for the night shift due to his chronic insomnia.<br/><br/>Via his narrative journal, Travis is soon revealed to be a lonely and depressed young man of 26 years. His origins and hometown are unknown. He sends his parents letters as well as birthday and Christmas cards, lying about his life and saying he works with the Secret Service. Travis spends his restless days alone in his rundown apartment somewhere in Manhattan, or in seedy porn theaters on and off 42nd Street. At one porn theater he tries to make an advance on the concession lady to no avail. He works 12 or 14 hour shifts during the evening and night time hours carrying passengers among all five boroughs of New York City. Sometimes during his breaks, he goes to a local all-night diner to have something to eat or just a few cups of coffee where fellow taxi drivers also hang out during their late-night lunch breaks. One of whom is a self-appointed philosophical type named Wizard (Peter Boyle). Wizard talks about the degradation of the night time in the city. Travis barely interacts with the other taxi drivers, mainly speaking awkwardly and shyly when he&#39;s spoken to.<br/><br/>During taxi driving, Travis spies and becomes infatuated with a woman named Betsy (Cybill Shepherd), a campaign volunteer for New York Senator Charles Palantine, who is running for the presidential nomination and is promising dramatic social change. Travis spies Betsy joking with a co-worker named Tom (Albert Brooks). Travis works up the nerve to ask her out and Betsy is initially intrigued by Travis. She agrees to a date with him after he flirts with her over coffee and sympathizes with her own apparent loneliness. She compares him to a character in the Kris Kristofferson song &quot;The Pilgrim.&quot;<br/><br/>Travis is further revolted by what he considers the moral decay around him. One night while on shift, Iris (Jodie Foster), a 12-year-old child prostitute, gets in his cab, attempting to escape her pimp. Shocked by the occurrence Travis fails to drive off quickly enough and her pimp, &quot;Sport&quot; (Harvey Keitel), reaches the cab. Sport forcibly grabs Iris away with him and gives Travis a crumpled twenty dollar bill as a bribe not to say anything, which haunts Travis with the memory of his failure to help the girl.<br/><br/>During one of his shifts, Travis picks up Senator Palantine himself (Leonard Harris) and an aide. He tells the senator he plans to vote for him and the senator, acting like a real politician, tells Travis he learns more from cab drivers than limo drivers. The senator asks Travis &quot;what&#39;s the one thing that bugs you the most?&quot; and Travis responds that he would like the next president to &quot;clean the scum off New York City.&quot;<br/><br/>On their date, however due to his lack of social skills, Travis takes Betsy to a porno theater to view a hardcore Swedish &quot;sex education&quot; film (titled: Language of Love). Offended, she leaves him and takes a taxi home alone. The next day he tries to reconcile with Betsy, phoning her and sending her flowers, but all of his attempts are in vain and she refuses to speak with him. Going back into the campaign office, Travis confronts Betsy and shouts that she will &quot;burn in hell like the rest of them&quot;.<br/><br/>Rejected and depressed, Travis later picks up a man (director Martin Scorsese) who appears to be as mentally unbalanced as he is. The man tells Travis to park outside an apartment building while letting the meter run. He tells Travis to look at the woman in the window and tells him that&#39;s his wife in her boyfriend&#39;s apartment. He tells Travis he plans to kill them both with a .44 Magnum.<br/><br/>One evening at the diner, Travis approaches and tries to express his despair to Wizard, but when Wizard makes a half-hearted response to Travis&#39; problems with the teen prostitute and others, Travis angrily responds with: &quot;that&#39;s just about the stupidest thing I ever heard&quot;.<br/><br/>Travis&#39;s thoughts turn more violent. Disgusted by the petty street crime (especially prostitution) that he witnesses while driving through the city, he now finds a focus for his frustration and buys a number of pistols from an illegal drug/weapons dealer (Steven Prince).<br/><br/>Travis develops an ominously intense interest in Senator Palantine&#39;s public appearances and it seems that he somehow blames the presidential hopeful for his own failure at wooing Betsy and maybe hopes to include her boss in his growing list of targets. Back at his apartment with his newly purchased guns, he begins a program of intense physical training and practices a menacing speech in the mirror, while pulling out a pistol that he attached to a home-made sliding action holster on his right arm (&quot;You talkin&#39; to me?&quot;). Later, he hangs around a Palantine rally and asks a suspicious secret service man about joining the service before disappearing into the crowd.<br/><br/>In an accidental warm-up, Travis randomly walks into a robbery in a run-down grocery store and shoots the would-be thief (Nat Grant) in the face; adding to the bizarre violence, the sympathetic grocery owner (Victor Argo) encourages Travis (who has no permit for his guns) to flee the scene and then proceeds to club the near-dead stickup man to death with a steel pole.<br/><br/>Later, seeing Iris on the street, he follows her. Another day later, Travis asks to pay for her time, and is sent to Sport. A tense conversation ensues but Sport sends Travis up to Iris&#39;s room. Once in her room, Travis does not have sex with her and instead tries to convince her to leave this way of life behind.<br/><br/>The next day, Travis and Iris meet for breakfast at a local coffee shop and Travis becomes obsessed with saving this naïve child-woman who thinks hanging out with hookers, pimps and drug dealers is more &quot;hip&quot; than dating young boys and going to school. Iris considers Travis&#39;s offer but then Sport seduces and convinces her to stay, while (seemingly) Travis spies into the window from his cab. Travis writes a note to Iris including all his money and stating that he doesn&#39;t intend to survive.<br/><br/>Any lingering doubt in the viewer&#39;s mind about Travis Bickle&#39;s sanity is obliterated when he is suddenly and shockingly shown to be sporting a crude Mohawk haircut at a public rally. He creeps through the crowd and prepares to assassinate Senator Palantine but is spotted by Secret Service men and flees.<br/><br/>Travis returns to his apartment to collect all his guns, then drives to &quot;Alphabet City&quot; (an area of New York&#39;s Lower East side consisting of Avenues A through E). He walks up to Sport and confronts him. When Sport flicks a lit cigarette at him, Travis says &quot;suck on this&quot; and shoots Sport in the belly. Storming into the brothel, Travis blows the bouncer&#39;s hand off. Sport, who has followed Travis, grazes Travis neck with a bullet (causing an arterial gush from his neck) but Travis unloads one of his guns into Sport, killing him. Travis again shoots the screaming bouncer who follows him up the stairs, slapping him. Iris&#39; mafioso customer shoots Travis in the arm and Travis shoots his face off. The bouncer tackles Travis but Travis stabs him through the hand and finally kills the bouncer with a bullet to the brain. He then calmly tries repeatedly to fire a bullet into his own head under his chin but all the weapons are empty so he resigns himself to resting on a convenient sofa until police arrive. When they do, the blood-soaked Travis mimes shooting himself in the head and then blissfully thinks of the mayhem and carnage in his wake.<br/><br/>A brief epilogue shows Travis recuperating from the incident. He has received a handwritten letter from Iris&#39; parents who thank him for saving their daughter, and the media (in newspaper clipping) hails him as a hero for saving her as well. Travis blithely returns to his job and suddenly seems on more friendly terms with the other cabbies. One night one of his fares happens to be Betsy. She comments about his saving of Iris and Travis&#39; own media fame, yet Travis denies being any sort of hero. He drops her off without charging her. As he is driving off, he gets a strange look on his face and adjusts his cab&#39;s rear view mirror, giving the impression that his irrationality is about to break through again.</li>\n    </ul>', ' ')","[]","['Concession Girl', 'Melio', 'Wizard', 'Tom', 'Cabbie in', 'Travis Bickle', 'Iris', 'Stick', 'Charles Palantine']"
"Scary Stories to Tell in the Dark (2019) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po1900590"">\n                    <p>A group of teens face their fears in order to save their lives.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Anonymous&view=simple&sort=alpha&ref_=ttpl_pl_0"">Anonymous</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4358652"">\n                    <p>It&#39;s 1968 in America. Change is blowing in the wind...but seemingly far removed from the unrest in the cities is the small town of Mill Valley where for generations, the shadow of the Bellows family has loomed large. It is in their mansion on the edge of town that Sarah, a young girl with horrible secrets, turned her tortured life into a series of scary stories, written in a book that has transcended time-stories that have a way of becoming all too real for a group of teenagers who discover Sarah&#39;s terrifying tome.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Anonymous&view=simple&sort=alpha&ref_=ttpl_pl_1"">Anonymous</a></em>\n                        </div>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')","[]","['Stella Nicholls', 'Ramón Morales']"
"The Kitchen (2019) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po2811166"">\n                    <p>The wives of New York gangsters in Hell&#39;s Kitchen in the 1970s continue to operate their husbands&#39; rackets after they&#39;re locked up in prison.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Anonymous&view=simple&sort=alpha&ref_=ttpl_pl_0"">Anonymous</a></em>\n                        </div>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')","[]","['Kathy Brennan', 'Ruby O', 'Claire Walsh']"
"Dora and the Lost City of Gold (2019) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po4434804"">\n                    <p>Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.</p>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4398871"">\n                    <p>Having spent most of her life exploring the jungle with her parents, nothing could prepare Dora for her most dangerous adventure ever: high school. Always the explorer, Dora quickly finds herself leading Boots, Diego, a mysterious jungle inhabitant, and a ragtag group of teens on a live-action adventure to save her parents and solve the impossible mystery behind a lost Inca civilization.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Nick Moreau&view=simple&sort=alpha&ref_=ttpl_pl_1"">Nick Moreau</a></em>\n                        </div>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')","[]","['Elena', 'Cole', 'Dora', 'Diego']"
"The Art of Racing in the Rain (2019) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po1300282"">\n                    <p>Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=20th Century Fox&view=simple&sort=alpha&ref_=ttpl_pl_0"">20th Century Fox</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4454374"">\n                    <p>Dog lovers believe their canine family members understand language, comprehend events, have opinions, exude loyalty. In &quot;The Art of Racing In The Rain&quot;, wise old dog Enzo Swift shares thoughts about the life experiences which prepared him to protect his family in times of greatest need.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')","[]","['Denny Swift', 'Eve', 'Zoe']"
"After the Wedding (2019) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po3736338"">\n                    <p>A manager of an orphanage in Kolkata travels to New York to meet a benefactor.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')","[]","['Isabel', 'Theresa']"
"Brian Banks (2018) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po2058884"">\n                    <p>A football player&#39;s dreams to play in the NFL are halted when he is wrongly convicted and sent to prison. Years later, he fights to clear his name within an unjust system.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Bleecker Street&view=simple&sort=alpha&ref_=ttpl_pl_0"">Bleecker Street</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4404612"">\n                    <p>The inspirational true story of Brian Banks (Aldis Hodge), an All-American high school football star committed to USC who finds his life upended when he is wrongly convicted of a crime he didn&#39;t commit. Despite lack of evidence, Banks is railroaded through a broken justice system and sentenced to a decade of prison and probation. Years later, with the support of Justin Brooks (Greg Kinnear) and the California Innocence Project, Banks fights to reclaim his life and fulfill his dreams of playing in the NFL.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Bleecker Street&view=simple&sort=alpha&ref_=ttpl_pl_1"">Bleecker Street</a></em>\n                        </div>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')","[]","['Brian Banks', 'Justin Brooks', 'Leomia', 'Karina']"
"The Peanut Butter Falcon (2019) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po4458748"">\n                    <p>Zak runs away from his care home to make his dream of becoming a wrestler come true.</p>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps2216090"">\n                    <p>The Peanut Butter Falcon is an adventure story set in the world of a modern Mark Twain that begins when Zak (22), a young man with Down syndrome runs away from a nursing home where he lives to chase his dream of becoming a professional wrestler and attending the wrestling school of The Salt Water Redneck. Through circumstances beyond their control Tyler (32), a small time outlaw on the run becomes Zak&#39;s unlikely coach and ally. Together they wind through deltas, elude capture, drink whisky, find God, catch fish, and convince Eleanor (28), a kind nursing home employee with a story of her own to join them on their journey.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Lucky Treehouse&view=simple&sort=alpha&ref_=ttpl_pl_1"">Lucky Treehouse</a></em>\n                        </div>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')","[]","['Tyler', 'Zak', 'Carl']"
"Born in China (2019) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po4546426"">\n                    <p>After becoming a mother, a filmmaker uncovers the untold history of China&#39;s one-child policy and the generations of parents and children forever shaped by this social experiment.</p>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4073381"">\n                    <p>First-time mother and filmmaker Nanfu Wang uncovers the untold history of China&#39;s One-Child policy and the generations of parents and children forever shaped by this social experiment.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')","[]","[]"
"Corporate Animals (2019) - IMDb","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-ps3897396"">\n                    <p>Lucy (Demi Moore) is the egotistical megalomaniac CEO of Incredible Edibles, America&#39;s premier provider of edible cutlery. In her infinite wisdom, Lucy leads her staff including her long-suffering assistants, Freddie (Karan Soni) and Jess (Jessica Williams), on a corporate team-building caving weekend to New Mexico. When disaster strikes, not even their useless guide, Brandon (Ed Helms), can save them. Trapped underground by a cave-in, this mismatched and disgruntled group must pull together in order to survive.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')","[]","['Lucy', 'Brandon', 'Derek']"
